stud.id,semester,major,minor,math_score,statistics_score,math_grade,statistics_grade
911287,4th,Political Science,Environmental Sciences,57,43,g. 02,g. 12
967258,3rd,Biology,Mathematics and Statistics,75,68,g. 07,g. 12
984457,6th,Biology,Economics and Finance,78,80,g. 07,g. 07
822891,3rd,Political Science,Mathematics and Statistics,51,55,g. 02,g. 02
587981,6th,Mathematics and Statistics,Political Science,85,89,g. 10,g. 10
112667,5th,Social Sciences,Environmental Sciences,44,47,g. 00,g. 00
763933,>6th,Biology,Environmental Sciences,73,82,g. 07,g. 07
954935,3rd,Environmental Sciences,Political Science,72,72,g. 07,g. 07
154015,4th,Environmental Sciences,Social Sciences,75,69,g. 07,g. 12
807518,6th,Political Science,Environmental Sciences,46,59,g. 00,g. 00
563504,6th,Economics and Finance,Political Science,62,75,g. 04,g. 04
799976,6th,Environmental Sciences,Mathematics and Statistics,72,73,g. 07,g. 07
846926,4th,Social Sciences,Mathematics and Statistics,47,43,g. 00,g. 00
468956,3rd,Economics and Finance,Political Science,67,66,g. 04,g. 04
363320,3rd,Political Science,Environmental Sciences,57,66,g. 02,g. 02
548177,5th,Mathematics and Statistics,Political Science,91,94,g. 12,g. 12
604302,5th,Environmental Sciences,Biology,71,69,g. 07,g. 12
564694,4th,Social Sciences,Environmental Sciences,49,51,g. 00,g. 00
356008,5th,Environmental Sciences,Political Science,79,83,g. 07,g. 07
648504,3rd,Political Science,Mathematics and Statistics,55,62,g. 02,g. 02
595769,4th,Biology,Economics and Finance,78,77,g. 07,g. 07
476989,4th,Social Sciences,Mathematics and Statistics,39,42,g. 00,g. 00
777815,>6th,Biology,Environmental Sciences,80,72,g. 10,g. 12
677610,4th,Environmental Sciences,Economics and Finance,65,71,g. 04,g. 04
277382,3rd,Mathematics and Statistics,Biology,86,86,g. 10,g. 10
650214,4th,Mathematics and Statistics,Social Sciences,89,85,g. 10,g. 10
613490,3rd,Mathematics and Statistics,Social Sciences,79,92,g. 07,g. 07
176939,3rd,Political Science,Mathematics and Statistics,46,58,g. 00,g. 00
978652,5th,Environmental Sciences,Political Science,70,67,g. 07,g. 12
414240,4th,Economics and Finance,Mathematics and Statistics,71,79,g. 07,g. 07
625895,5th,Environmental Sciences,Mathematics and Statistics,72,77,g. 07,g. 07
390559,4th,Biology,Economics and Finance,78,83,g. 07,g. 07
612668,4th,Political Science,Mathematics and Statistics,55,64,g. 02,g. 02
364492,4th,Political Science,Biology,57,53,g. 02,g. 02
936532,3rd,Biology,Social Sciences,78,85,g. 07,g. 07
792941,4th,Political Science,Economics and Finance,57,54,g. 02,g. 02
728141,5th,Biology,Social Sciences,72,86,g. 07,g. 07
168476,6th,Economics and Finance,Political Science,65,65,g. 04,g. 04
443848,4th,Biology,Environmental Sciences,81,80,g. 10,g. 10
601421,4th,Environmental Sciences,Biology,64,70,g. 04,g. 04
272563,3rd,Mathematics and Statistics,Environmental Sciences,84,89,g. 10,g. 10
207911,5th,Economics and Finance,Mathematics and Statistics,64,65,g. 04,g. 04
261845,3rd,Political Science,Economics and Finance,58,59,g. 02,g. 02
182135,6th,Mathematics and Statistics,Political Science,84,86,g. 10,g. 10
802354,4th,Political Science,Social Sciences,57,55,g. 02,g. 02
752528,5th,Environmental Sciences,Economics and Finance,75,73,g. 07,g. 07
192380,5th,Mathematics and Statistics,Environmental Sciences,90,92,g. 12,g. 12
637160,4th,Mathematics and Statistics,Environmental Sciences,86,87,g. 10,g. 10
832270,6th,Mathematics and Statistics,Environmental Sciences,83,90,g. 10,g. 10
550938,3rd,Environmental Sciences,Economics and Finance,82,68,g. 10,g. 12
730304,4th,Political Science,Economics and Finance,57,69,g. 02,g. 02
770459,4th,Environmental Sciences,Economics and Finance,64,73,g. 04,g. 04
194438,5th,Social Sciences,Mathematics and Statistics,49,51,g. 00,g. 00
853592,3rd,Social Sciences,Mathematics and Statistics,41,51,g. 00,g. 00
597357,4th,Biology,Mathematics and Statistics,75,87,g. 07,g. 07
129428,3rd,Political Science,Economics and Finance,54,56,g. 02,g. 02
427381,4th,Biology,Mathematics and Statistics,74,78,g. 07,g. 07
419254,3rd,Economics and Finance,Political Science,66,66,g. 04,g. 04
974168,3rd,Economics and Finance,Political Science,70,71,g. 07,g. 07
892039,6th,Environmental Sciences,Political Science,75,74,g. 07,g. 07
459056,4th,Economics and Finance,Mathematics and Statistics,65,67,g. 04,g. 04
834001,6th,Political Science,Economics and Finance,49,57,g. 00,g. 00
513000,3rd,Mathematics and Statistics,Political Science,91,89,g. 12,g. 12
764426,>6th,Economics and Finance,Social Sciences,61,64,g. 04,g. 04
744270,4th,Economics and Finance,Social Sciences,68,69,g. 04,g. 04
661280,5th,Environmental Sciences,Political Science,72,72,g. 07,g. 07
694180,4th,Mathematics and Statistics,Environmental Sciences,87,93,g. 10,g. 10
949691,3rd,Mathematics and Statistics,Political Science,85,95,g. 10,g. 10
396355,6th,Biology,Environmental Sciences,74,78,g. 07,g. 07
152996,4th,Political Science,Mathematics and Statistics,59,50,g. 02,g. 02
369272,3rd,Political Science,Mathematics and Statistics,52,62,g. 02,g. 02
318277,4th,Environmental Sciences,Mathematics and Statistics,71,84,g. 07,g. 07
701439,6th,Environmental Sciences,Biology,68,75,g. 04,g. 04
696684,6th,Economics and Finance,Environmental Sciences,62,63,g. 04,g. 04
530824,5th,Mathematics and Statistics,Biology,89,86,g. 10,g. 10
290462,>6th,Environmental Sciences,Biology,70,76,g. 07,g. 07
932496,>6th,Social Sciences,Mathematics and Statistics,40,41,g. 00,g. 00
538530,6th,Social Sciences,Political Science,45,49,g. 00,g. 00
824590,4th,Biology,Mathematics and Statistics,75,81,g. 07,g. 07
195524,>6th,Environmental Sciences,Biology,67,79,g. 04,g. 04
192886,3rd,Political Science,Social Sciences,55,57,g. 02,g. 02
450798,3rd,Political Science,Economics and Finance,59,48,g. 02,g. 12
462969,6th,Environmental Sciences,Biology,69,74,g. 04,g. 04
308805,4th,Mathematics and Statistics,Social Sciences,90,90,g. 12,g. 12
307257,5th,Economics and Finance,Biology,64,68,g. 04,g. 04
311317,6th,Social Sciences,Economics and Finance,39,50,g. 00,g. 00
219804,3rd,Biology,Political Science,77,81,g. 07,g. 07
334855,5th,Biology,Social Sciences,78,81,g. 07,g. 07
788765,6th,Economics and Finance,Environmental Sciences,67,66,g. 04,g. 04
944446,>6th,Economics and Finance,Environmental Sciences,64,65,g. 04,g. 04
566236,4th,Biology,Economics and Finance,77,73,g. 07,g. 07
883456,5th,Environmental Sciences,Mathematics and Statistics,82,81,g. 10,g. 10
492124,3rd,Social Sciences,Biology,43,38,g. 00,g. 00
879277,5th,Economics and Finance,Biology,63,73,g. 04,g. 04
466845,4th,Economics and Finance,Environmental Sciences,63,72,g. 04,g. 04
560871,4th,Mathematics and Statistics,Environmental Sciences,80,90,g. 10,g. 10
561670,5th,Environmental Sciences,Social Sciences,71,76,g. 07,g. 07
731851,3rd,Biology,Social Sciences,75,75,g. 07,g. 07
339089,3rd,Environmental Sciences,Biology,77,67,g. 07,g. 12
822432,4th,Economics and Finance,Mathematics and Statistics,58,61,g. 02,g. 02
741295,4th,Political Science,Biology,42,57,g. 00,g. 00
327389,5th,Mathematics and Statistics,Environmental Sciences,84,88,g. 10,g. 10
755314,3rd,Social Sciences,Political Science,47,57,g. 00,g. 00
948224,6th,Political Science,Economics and Finance,54,49,g. 02,g. 12
443429,4th,Political Science,Social Sciences,61,43,g. 04,g. 12
840594,5th,Political Science,Biology,61,56,g. 04,g. 12
437053,4th,Economics and Finance,Environmental Sciences,62,67,g. 04,g. 04
206514,5th,Biology,Mathematics and Statistics,78,81,g. 07,g. 07
303005,4th,Economics and Finance,Environmental Sciences,66,54,g. 04,g. 12
712097,4th,Political Science,Social Sciences,57,65,g. 02,g. 02
755701,6th,Biology,Social Sciences,76,80,g. 07,g. 07
216114,6th,Biology,Social Sciences,77,78,g. 07,g. 07
636345,3rd,Social Sciences,Political Science,48,43,g. 00,g. 00
189369,>6th,Social Sciences,Political Science,40,43,g. 00,g. 00
960892,3rd,Environmental Sciences,Biology,69,77,g. 04,g. 04
119167,3rd,Economics and Finance,Political Science,72,67,g. 07,g. 12
907903,6th,Political Science,Environmental Sciences,49,56,g. 00,g. 00
157233,>6th,Mathematics and Statistics,Political Science,93,89,g. 12,g. 12
741781,>6th,Economics and Finance,Social Sciences,76,63,g. 07,g. 12
819974,4th,Economics and Finance,Environmental Sciences,65,71,g. 04,g. 04
224375,4th,Social Sciences,Biology,44,41,g. 00,g. 00
293956,4th,Environmental Sciences,Social Sciences,79,73,g. 07,g. 07
806895,3rd,Political Science,Economics and Finance,55,49,g. 02,g. 12
755108,6th,Mathematics and Statistics,Social Sciences,90,91,g. 12,g. 12
155776,5th,Mathematics and Statistics,Economics and Finance,93,83,g. 12,g. 12
671183,3rd,Economics and Finance,Environmental Sciences,62,72,g. 04,g. 04
131200,5th,Mathematics and Statistics,Biology,85,93,g. 10,g. 10
448719,5th,Social Sciences,Political Science,44,43,g. 00,g. 00
538775,3rd,Social Sciences,Environmental Sciences,51,48,g. 02,g. 12
826573,3rd,Environmental Sciences,Biology,69,79,g. 04,g. 04
789772,3rd,Mathematics and Statistics,Political Science,89,95,g. 10,g. 10
321865,3rd,Economics and Finance,Political Science,65,64,g. 04,g. 04
941419,4th,Social Sciences,Biology,44,41,g. 00,g. 00
428018,5th,Mathematics and Statistics,Biology,92,86,g. 12,g. 12
131511,3rd,Social Sciences,Political Science,42,47,g. 00,g. 00
476323,>6th,Political Science,Social Sciences,59,54,g. 02,g. 02
384049,3rd,Political Science,Social Sciences,46,60,g. 00,g. 00
701149,4th,Environmental Sciences,Biology,71,80,g. 07,g. 07
750287,3rd,Mathematics and Statistics,Political Science,87,89,g. 10,g. 10
347650,6th,Political Science,Biology,46,54,g. 00,g. 00
765934,3rd,Mathematics and Statistics,Environmental Sciences,86,91,g. 10,g. 10
833113,6th,Biology,Political Science,71,75,g. 07,g. 07
898401,3rd,Political Science,Environmental Sciences,55,53,g. 02,g. 02
424157,>6th,Biology,Mathematics and Statistics,83,82,g. 10,g. 10
591314,5th,Environmental Sciences,Economics and Finance,72,66,g. 07,g. 12
864079,3rd,Political Science,Biology,51,53,g. 02,g. 02
592087,3rd,Economics and Finance,Social Sciences,71,59,g. 07,g. 12
627635,5th,Economics and Finance,Biology,67,71,g. 04,g. 04
802549,3rd,Social Sciences,Environmental Sciences,45,43,g. 00,g. 00
158609,4th,Political Science,Biology,56,51,g. 02,g. 02
293528,3rd,Political Science,Environmental Sciences,49,58,g. 00,g. 00
632912,6th,Political Science,Social Sciences,51,58,g. 02,g. 02
418282,4th,Biology,Political Science,75,80,g. 07,g. 07
409582,4th,Biology,Mathematics and Statistics,73,75,g. 07,g. 07
873084,3rd,Environmental Sciences,Biology,81,72,g. 10,g. 12
442982,4th,Economics and Finance,Political Science,66,75,g. 04,g. 04
413617,5th,Biology,Political Science,81,82,g. 10,g. 10
534186,4th,Mathematics and Statistics,Economics and Finance,94,91,g. 12,g. 12
229836,5th,Political Science,Social Sciences,59,56,g. 02,g. 02
412195,5th,Mathematics and Statistics,Economics and Finance,86,93,g. 10,g. 10
357559,4th,Social Sciences,Economics and Finance,49,47,g. 00,g. 00
763877,4th,Environmental Sciences,Economics and Finance,64,71,g. 04,g. 04
937495,4th,Biology,Political Science,75,84,g. 07,g. 07
925483,4th,Social Sciences,Political Science,36,41,g. 00,g. 00
819845,3rd,Political Science,Environmental Sciences,50,51,g. 02,g. 02
518268,4th,Political Science,Economics and Finance,61,48,g. 04,g. 12
138120,3rd,Social Sciences,Economics and Finance,45,47,g. 00,g. 00
963646,4th,Biology,Social Sciences,75,86,g. 07,g. 07
496565,3rd,Economics and Finance,Biology,63,62,g. 04,g. 04
156793,3rd,Environmental Sciences,Social Sciences,75,74,g. 07,g. 07
499183,3rd,Environmental Sciences,Biology,75,81,g. 07,g. 07
451929,5th,Environmental Sciences,Economics and Finance,71,78,g. 07,g. 07
711042,3rd,Biology,Economics and Finance,83,82,g. 10,g. 10
881500,6th,Political Science,Mathematics and Statistics,56,45,g. 02,g. 12
284570,6th,Environmental Sciences,Mathematics and Statistics,71,79,g. 07,g. 07
195489,>6th,Political Science,Economics and Finance,56,61,g. 02,g. 02
869543,>6th,Environmental Sciences,Mathematics and Statistics,73,79,g. 07,g. 07
729441,4th,Political Science,Economics and Finance,60,57,g. 04,g. 12
799732,4th,Environmental Sciences,Economics and Finance,65,72,g. 04,g. 04
585826,6th,Political Science,Economics and Finance,69,55,g. 04,g. 12
972105,4th,Biology,Social Sciences,79,79,g. 07,g. 07
211258,>6th,Environmental Sciences,Political Science,70,69,g. 07,g. 12
473908,5th,Political Science,Mathematics and Statistics,55,49,g. 02,g. 12
913898,3rd,Environmental Sciences,Mathematics and Statistics,64,80,g. 04,g. 04
424253,6th,Economics and Finance,Mathematics and Statistics,70,71,g. 07,g. 07
220478,4th,Political Science,Environmental Sciences,54,62,g. 02,g. 02
647166,3rd,Economics and Finance,Social Sciences,74,79,g. 07,g. 07
766711,3rd,Political Science,Economics and Finance,43,57,g. 00,g. 00
387414,>6th,Biology,Social Sciences,81,83,g. 10,g. 10
805894,5th,Mathematics and Statistics,Social Sciences,90,91,g. 12,g. 12
883411,4th,Mathematics and Statistics,Economics and Finance,89,86,g. 10,g. 10
955077,4th,Biology,Mathematics and Statistics,75,77,g. 07,g. 07
701952,5th,Economics and Finance,Political Science,75,71,g. 07,g. 07
419462,5th,Economics and Finance,Political Science,66,68,g. 04,g. 04
518046,4th,Economics and Finance,Environmental Sciences,70,61,g. 07,g. 12
274573,5th,Biology,Political Science,75,81,g. 07,g. 07
643124,4th,Environmental Sciences,Mathematics and Statistics,72,71,g. 07,g. 07
721649,6th,Political Science,Social Sciences,51,57,g. 02,g. 02
777522,5th,Environmental Sciences,Social Sciences,66,75,g. 04,g. 04
787391,3rd,Social Sciences,Political Science,42,42,g. 00,g. 00
142988,3rd,Social Sciences,Economics and Finance,38,54,g. 00,g. 00
674523,3rd,Biology,Economics and Finance,75,71,g. 07,g. 07
734869,4th,Social Sciences,Economics and Finance,37,43,g. 00,g. 00
539383,4th,Economics and Finance,Political Science,63,60,g. 04,g. 04
456360,4th,Economics and Finance,Social Sciences,60,69,g. 04,g. 04
951098,3rd,Social Sciences,Biology,43,36,g. 00,g. 00
346731,5th,Environmental Sciences,Social Sciences,78,65,g. 07,g. 12
913374,5th,Mathematics and Statistics,Social Sciences,85,81,g. 10,g. 10
492848,4th,Economics and Finance,Biology,64,65,g. 04,g. 04
631698,4th,Social Sciences,Biology,47,40,g. 00,g. 00
845520,3rd,Economics and Finance,Mathematics and Statistics,75,64,g. 07,g. 12
696106,6th,Mathematics and Statistics,Biology,91,90,g. 12,g. 12
376091,3rd,Mathematics and Statistics,Economics and Finance,86,92,g. 10,g. 10
917118,4th,Political Science,Social Sciences,43,50,g. 00,g. 00
343986,3rd,Biology,Economics and Finance,79,88,g. 07,g. 07
746386,3rd,Political Science,Mathematics and Statistics,44,58,g. 00,g. 00
536366,4th,Environmental Sciences,Mathematics and Statistics,86,69,g. 10,g. 12
169914,6th,Economics and Finance,Mathematics and Statistics,69,76,g. 04,g. 04
552698,4th,Political Science,Economics and Finance,47,57,g. 00,g. 00
348738,3rd,Environmental Sciences,Political Science,73,71,g. 07,g. 07
442831,5th,Environmental Sciences,Biology,73,70,g. 07,g. 07
632138,4th,Economics and Finance,Environmental Sciences,74,72,g. 07,g. 07
916103,5th,Biology,Social Sciences,85,77,g. 10,g. 12
816730,5th,Environmental Sciences,Political Science,76,71,g. 07,g. 07
944417,6th,Environmental Sciences,Mathematics and Statistics,71,72,g. 07,g. 07
344308,4th,Environmental Sciences,Social Sciences,75,63,g. 07,g. 12
285966,3rd,Environmental Sciences,Social Sciences,76,74,g. 07,g. 07
591345,4th,Mathematics and Statistics,Social Sciences,86,87,g. 10,g. 10
524371,5th,Social Sciences,Environmental Sciences,47,44,g. 00,g. 00
689686,4th,Biology,Economics and Finance,77,80,g. 07,g. 07
409108,4th,Mathematics and Statistics,Environmental Sciences,85,94,g. 10,g. 10
480022,6th,Mathematics and Statistics,Economics and Finance,91,91,g. 12,g. 12
363823,3rd,Environmental Sciences,Political Science,71,76,g. 07,g. 07
499824,5th,Political Science,Mathematics and Statistics,60,62,g. 04,g. 04
393220,>6th,Environmental Sciences,Biology,75,68,g. 07,g. 12
172187,4th,Economics and Finance,Biology,64,68,g. 04,g. 04
405552,3rd,Biology,Mathematics and Statistics,78,72,g. 07,g. 07
522118,5th,Biology,Political Science,76,85,g. 07,g. 07
328337,6th,Economics and Finance,Environmental Sciences,65,69,g. 04,g. 04
902972,6th,Mathematics and Statistics,Biology,88,86,g. 10,g. 10
842160,3rd,Environmental Sciences,Mathematics and Statistics,67,78,g. 04,g. 04
358961,>6th,Mathematics and Statistics,Biology,93,90,g. 12,g. 12
560158,3rd,Economics and Finance,Biology,63,68,g. 04,g. 04
475771,6th,Economics and Finance,Biology,61,63,g. 04,g. 04
694729,3rd,Economics and Finance,Biology,60,64,g. 04,g. 04
875569,3rd,Environmental Sciences,Economics and Finance,75,79,g. 07,g. 07
843311,5th,Political Science,Social Sciences,56,56,g. 02,g. 02
986612,3rd,Mathematics and Statistics,Political Science,90,87,g. 12,g. 12
348075,6th,Environmental Sciences,Social Sciences,67,72,g. 04,g. 04
335524,4th,Mathematics and Statistics,Political Science,91,90,g. 12,g. 12
670946,>6th,Social Sciences,Mathematics and Statistics,44,40,g. 00,g. 00
870118,3rd,Biology,Social Sciences,82,80,g. 10,g. 10
187202,>6th,Mathematics and Statistics,Biology,85,95,g. 10,g. 10
685390,3rd,Environmental Sciences,Economics and Finance,76,73,g. 07,g. 07
678040,6th,Political Science,Mathematics and Statistics,51,47,g. 02,g. 12
355455,4th,Mathematics and Statistics,Social Sciences,92,86,g. 12,g. 12
540910,4th,Biology,Mathematics and Statistics,79,81,g. 07,g. 07
293336,3rd,Economics and Finance,Mathematics and Statistics,62,71,g. 04,g. 04
314446,5th,Social Sciences,Mathematics and Statistics,47,31,g. 00,g. 00
195453,3rd,Economics and Finance,Biology,70,67,g. 07,g. 12
542971,3rd,Biology,Social Sciences,73,80,g. 07,g. 07
602760,4th,Social Sciences,Environmental Sciences,36,42,g. 00,g. 00
621166,6th,Environmental Sciences,Biology,73,69,g. 07,g. 12
546971,4th,Political Science,Mathematics and Statistics,50,60,g. 02,g. 02
218207,3rd,Social Sciences,Environmental Sciences,56,44,g. 02,g. 12
532021,6th,Environmental Sciences,Political Science,70,75,g. 07,g. 07
950531,6th,Mathematics and Statistics,Economics and Finance,85,88,g. 10,g. 10
937796,3rd,Environmental Sciences,Social Sciences,72,78,g. 07,g. 07
413746,3rd,Environmental Sciences,Social Sciences,78,77,g. 07,g. 07
786879,5th,Environmental Sciences,Mathematics and Statistics,74,70,g. 07,g. 07
202943,3rd,Biology,Economics and Finance,81,86,g. 10,g. 10
718210,6th,Mathematics and Statistics,Political Science,89,90,g. 10,g. 10
500133,4th,Social Sciences,Environmental Sciences,49,48,g. 00,g. 00
804079,3rd,Mathematics and Statistics,Social Sciences,91,93,g. 12,g. 12
640908,5th,Mathematics and Statistics,Biology,86,88,g. 10,g. 10
451904,3rd,Biology,Social Sciences,78,85,g. 07,g. 07
500055,3rd,Social Sciences,Economics and Finance,44,54,g. 00,g. 00
648227,6th,Social Sciences,Political Science,51,50,g. 02,g. 02
308736,3rd,Economics and Finance,Political Science,70,70,g. 07,g. 07
726448,4th,Biology,Social Sciences,81,79,g. 10,g. 12
234303,5th,Biology,Environmental Sciences,85,81,g. 10,g. 10
362536,5th,Political Science,Economics and Finance,57,59,g. 02,g. 02
979716,5th,Biology,Mathematics and Statistics,77,70,g. 07,g. 07
445117,4th,Biology,Environmental Sciences,76,75,g. 07,g. 07
611494,4th,Mathematics and Statistics,Political Science,88,91,g. 10,g. 10
847488,3rd,Political Science,Social Sciences,62,66,g. 04,g. 04
518678,4th,Economics and Finance,Political Science,66,65,g. 04,g. 04
141973,>6th,Environmental Sciences,Economics and Finance,73,70,g. 07,g. 07
671620,>6th,Social Sciences,Environmental Sciences,47,38,g. 00,g. 00
552687,>6th,Political Science,Environmental Sciences,48,61,g. 00,g. 00
659741,6th,Environmental Sciences,Economics and Finance,66,70,g. 04,g. 04
954446,3rd,Environmental Sciences,Political Science,70,75,g. 07,g. 07
422347,3rd,Social Sciences,Mathematics and Statistics,40,46,g. 00,g. 00
671968,5th,Mathematics and Statistics,Social Sciences,86,91,g. 10,g. 10
304227,>6th,Environmental Sciences,Political Science,70,78,g. 07,g. 07
544798,>6th,Economics and Finance,Environmental Sciences,67,65,g. 04,g. 04
420961,3rd,Environmental Sciences,Social Sciences,70,72,g. 07,g. 07
652216,5th,Biology,Economics and Finance,78,76,g. 07,g. 07
452246,5th,Political Science,Environmental Sciences,54,61,g. 02,g. 02
282663,5th,Environmental Sciences,Political Science,83,76,g. 10,g. 12
474155,4th,Environmental Sciences,Economics and Finance,71,71,g. 07,g. 07
765405,5th,Social Sciences,Mathematics and Statistics,38,58,g. 00,g. 00
486243,5th,Economics and Finance,Biology,62,69,g. 04,g. 04
509752,6th,Social Sciences,Biology,44,44,g. 00,g. 00
708840,4th,Economics and Finance,Social Sciences,65,69,g. 04,g. 04
363863,5th,Environmental Sciences,Political Science,69,77,g. 04,g. 04
711793,4th,Political Science,Social Sciences,63,54,g. 04,g. 12
173289,5th,Economics and Finance,Biology,71,65,g. 07,g. 12
284615,4th,Environmental Sciences,Social Sciences,69,65,g. 04,g. 04
435645,3rd,Environmental Sciences,Biology,72,75,g. 07,g. 07
410319,6th,Economics and Finance,Social Sciences,68,62,g. 04,g. 04
980941,4th,Political Science,Biology,51,62,g. 02,g. 02
310426,3rd,Economics and Finance,Biology,66,67,g. 04,g. 04
605051,4th,Biology,Social Sciences,74,87,g. 07,g. 07
669636,6th,Environmental Sciences,Mathematics and Statistics,69,70,g. 04,g. 04
396279,4th,Social Sciences,Political Science,40,45,g. 00,g. 00
391232,3rd,Political Science,Mathematics and Statistics,60,55,g. 04,g. 12
816761,3rd,Political Science,Social Sciences,62,60,g. 04,g. 04
948311,4th,Environmental Sciences,Social Sciences,73,74,g. 07,g. 07
370563,3rd,Mathematics and Statistics,Environmental Sciences,84,91,g. 10,g. 10
770668,3rd,Environmental Sciences,Social Sciences,65,70,g. 04,g. 04
457909,3rd,Biology,Mathematics and Statistics,85,86,g. 10,g. 10
