tas	Year	Month	Country	ISO3	ISO2
12.8499	1911	5	DNK	NA	NA
14.5961	1911	6	DNK	NA	NA
16.9421	1911	7	DNK	NA	NA
18.1316	1911	8	DNK	NA	NA
13.878	1911	9	DNK	NA	NA
7.89506	1911	10	DNK	NA	NA
4.93928	1911	11	DNK	NA	NA
2.62724	1911	12	DNK	NA	NA
-2.6419	1912	1	DNK	NA	NA
-1.0115	1912	2	DNK	NA	NA
3.98167	1912	3	DNK	NA	NA
6.09619	1912	4	DNK	NA	NA
9.6451	1912	5	DNK	NA	NA
14.1175	1912	6	DNK	NA	NA
18.0481	1912	7	DNK	NA	NA
14.6081	1912	8	DNK	NA	NA
10.3423	1912	9	DNK	NA	NA
7.4017	1912	10	DNK	NA	NA
3.65385	1912	11	DNK	NA	NA
4.08246	1912	12	DNK	NA	NA
-0.6026	1913	1	DNK	NA	NA
1.55496	1913	2	DNK	NA	NA
4.08596	1913	3	DNK	NA	NA
6.85388	1913	4	DNK	NA	NA
11.0981	1913	5	DNK	NA	NA
14.1321	1913	6	DNK	NA	NA
15.395	1913	7	DNK	NA	NA
14.8453	1913	8	DNK	NA	NA
12.7071	1913	9	DNK	NA	NA
8.74184	1913	10	DNK	NA	NA
6.89453	1913	11	DNK	NA	NA
2.6472	1913	12	DNK	NA	NA
-0.7507	1914	1	DNK	NA	NA
3.29056	1914	2	DNK	NA	NA
3.14652	1914	3	DNK	NA	NA
7.90334	1914	4	DNK	NA	NA
10.0807	1914	5	DNK	NA	NA
14.9751	1914	6	DNK	NA	NA
18.8078	1914	7	DNK	NA	NA
17.2157	1914	8	DNK	NA	NA
13.1434	1914	9	DNK	NA	NA
8.3548	1914	10	DNK	NA	NA
4.0043	1914	11	DNK	NA	NA
2.95609	1914	12	DNK	NA	NA
-0.6218	1915	1	DNK	NA	NA
0.28941	1915	2	DNK	NA	NA
0.42189	1915	3	DNK	NA	NA
5.89226	1915	4	DNK	NA	NA
10.1573	1915	5	DNK	NA	NA
14.1812	1915	6	DNK	NA	NA
14.9711	1915	7	DNK	NA	NA
15.1723	1915	8	DNK	NA	NA
12.1671	1915	9	DNK	NA	NA
6.28558	1915	10	DNK	NA	NA
2.10727	1915	11	DNK	NA	NA
-0.2627	1915	12	DNK	NA	NA
3.07994	1916	1	DNK	NA	NA
0.20659	1916	2	DNK	NA	NA
0.58125	1916	3	DNK	NA	NA
6.74807	1916	4	DNK	NA	NA
10.6169	1916	5	DNK	NA	NA
12.1755	1916	6	DNK	NA	NA
15.8724	1916	7	DNK	NA	NA
14.9232	1916	8	DNK	NA	NA
11.6715	1916	9	DNK	NA	NA
7.74997	1916	10	DNK	NA	NA
5.51143	1916	11	DNK	NA	NA
1.47051	1916	12	DNK	NA	NA
-2.8821	1917	1	DNK	NA	NA
-2.0545	1917	2	DNK	NA	NA
-1.6037	1917	3	DNK	NA	NA
3.40789	1917	4	DNK	NA	NA
11.332	1917	5	DNK	NA	NA
17.1565	1917	6	DNK	NA	NA
16.8778	1917	7	DNK	NA	NA
17.1605	1917	8	DNK	NA	NA
13.6614	1917	9	DNK	NA	NA
7.6408	1917	10	DNK	NA	NA
5.63159	1917	11	DNK	NA	NA
-0.0758	1917	12	DNK	NA	NA
-0.5648	1918	1	DNK	NA	NA
0.56258	1918	2	DNK	NA	NA
2.30443	1918	3	DNK	NA	NA
6.8253	1918	4	DNK	NA	NA
12.115	1918	5	DNK	NA	NA
12.5821	1918	6	DNK	NA	NA
15.7096	1918	7	DNK	NA	NA
15.7448	1918	8	DNK	NA	NA
11.7461	1918	9	DNK	NA	NA
9.30729	1918	10	DNK	NA	NA
4.30366	1918	11	DNK	NA	NA
2.52568	1918	12	DNK	NA	NA
0.58496	1919	1	DNK	NA	NA
-1.3761	1919	2	DNK	NA	NA
0.89804	1919	3	DNK	NA	NA
5.56868	1919	4	DNK	NA	NA
11.6087	1919	5	DNK	NA	NA
13.7744	1919	6	DNK	NA	NA
15.2101	1919	7	DNK	NA	NA
14.0603	1919	8	DNK	NA	NA
13.2376	1919	9	DNK	NA	NA
6.76371	1919	10	DNK	NA	NA
0.08179	1919	11	DNK	NA	NA
-0.4178	1919	12	DNK	NA	NA
0.65623	1920	1	DNK	NA	NA
2.53195	1920	2	DNK	NA	NA
4.94109	1920	3	DNK	NA	NA
7.27426	1920	4	DNK	NA	NA
11.3414	1920	5	DNK	NA	NA
14.6999	1920	6	DNK	NA	NA
16.7315	1920	7	DNK	NA	NA
14.8375	1920	8	DNK	NA	NA
12.5682	1920	9	DNK	NA	NA
6.50932	1920	10	DNK	NA	NA
3.83032	1920	11	DNK	NA	NA
0.85244	1920	12	DNK	NA	NA
2.81595	1921	1	DNK	NA	NA
1.66142	1921	2	DNK	NA	NA
5.07335	1921	3	DNK	NA	NA
7.9161	1921	4	DNK	NA	NA
12.5406	1921	5	DNK	NA	NA
13.4491	1921	6	DNK	NA	NA
15.9315	1921	7	DNK	NA	NA
15.2824	1921	8	DNK	NA	NA
12.1813	1921	9	DNK	NA	NA
10.0806	1921	10	DNK	NA	NA
1.11717	1921	11	DNK	NA	NA
2.08502	1921	12	DNK	NA	NA
-2.0193	1922	1	DNK	NA	NA
-2.2316	1922	2	DNK	NA	NA
1.71594	1922	3	DNK	NA	NA
4.32804	1922	4	DNK	NA	NA
10.5749	1922	5	DNK	NA	NA
13.372	1922	6	DNK	NA	NA
14.8123	1922	7	DNK	NA	NA
14.3589	1922	8	DNK	NA	NA
11.4078	1922	9	DNK	NA	NA
5.57099	1922	10	DNK	NA	NA
3.76993	1922	11	DNK	NA	NA
3.07819	1922	12	DNK	NA	NA
2.45632	1923	1	DNK	NA	NA
-1.1357	1923	2	DNK	NA	NA
3.17913	1923	3	DNK	NA	NA
4.8755	1923	4	DNK	NA	NA
8.98501	1923	5	DNK	NA	NA
11.0296	1923	6	DNK	NA	NA
17.0208	1923	7	DNK	NA	NA
14.1837	1923	8	DNK	NA	NA
12.4236	1923	9	DNK	NA	NA
9.70379	1923	10	DNK	NA	NA
2.89403	1923	11	DNK	NA	NA
-1.5568	1923	12	DNK	NA	NA
-2.3265	1924	1	DNK	NA	NA
-2.1615	1924	2	DNK	NA	NA
-0.2046	1924	3	DNK	NA	NA
3.76244	1924	4	DNK	NA	NA
10.2629	1924	5	DNK	NA	NA
13.3159	1924	6	DNK	NA	NA
15.1066	1924	7	DNK	NA	NA
15.1595	1924	8	DNK	NA	NA
13.5439	1924	9	DNK	NA	NA
9.3906	1924	10	DNK	NA	NA
5.00258	1924	11	DNK	NA	NA
3.2614	1924	12	DNK	NA	NA
3.12838	1925	1	DNK	NA	NA
2.73591	1925	2	DNK	NA	NA
1.11082	1925	3	DNK	NA	NA
6.90264	1925	4	DNK	NA	NA
12.1835	1925	5	DNK	NA	NA
13.8393	1925	6	DNK	NA	NA
18.5644	1925	7	DNK	NA	NA
16.4626	1925	8	DNK	NA	NA
11.8525	1925	9	DNK	NA	NA
7.66168	1925	10	DNK	NA	NA
2.05043	1925	11	DNK	NA	NA
-1.1675	1925	12	DNK	NA	NA
-0.2788	1926	1	DNK	NA	NA
0.14519	1926	2	DNK	NA	NA
2.89561	1926	3	DNK	NA	NA
7.25866	1926	4	DNK	NA	NA
9.84928	1926	5	DNK	NA	NA
14.0916	1926	6	DNK	NA	NA
17.5386	1926	7	DNK	NA	NA
16.0224	1926	8	DNK	NA	NA
13.2822	1926	9	DNK	NA	NA
6.58433	1926	10	DNK	NA	NA
5.24926	1926	11	DNK	NA	NA
1.42108	1926	12	DNK	NA	NA
1.94281	1927	1	DNK	NA	NA
0.64567	1927	2	DNK	NA	NA
4.62855	1927	3	DNK	NA	NA
5.42966	1927	4	DNK	NA	NA
8.35549	1927	5	DNK	NA	NA
11.6537	1927	6	DNK	NA	NA
17.0642	1927	7	DNK	NA	NA
16.7286	1927	8	DNK	NA	NA
13.0415	1927	9	DNK	NA	NA
8.84	1927	10	DNK	NA	NA
1.94996	1927	11	DNK	NA	NA
-3.8103	1927	12	DNK	NA	NA
0.22814	1928	1	DNK	NA	NA
1.46465	1928	2	DNK	NA	NA
1.4545	1928	3	DNK	NA	NA
5.83838	1928	4	DNK	NA	NA
9.55765	1928	5	DNK	NA	NA
11.7224	1928	6	DNK	NA	NA
14.8146	1928	7	DNK	NA	NA
14.8931	1928	8	DNK	NA	NA
12.2497	1928	9	DNK	NA	NA
8.69915	1928	10	DNK	NA	NA
6.02616	1928	11	DNK	NA	NA
0.50306	1928	12	DNK	NA	NA
-3.2288	1929	1	DNK	NA	NA
-7.0575	1929	2	DNK	NA	NA
1.97077	1929	3	DNK	NA	NA
3.06098	1929	4	DNK	NA	NA
10.7111	1929	5	DNK	NA	NA
12.3207	1929	6	DNK	NA	NA
15.3469	1929	7	DNK	NA	NA
15.5044	1929	8	DNK	NA	NA
13.939	1929	9	DNK	NA	NA
9.4565	1929	10	DNK	NA	NA
5.1485900000000004	1929	11	DNK	NA	NA
3.52769	1929	12	DNK	NA	NA
2.73491	1930	1	DNK	NA	NA
-0.4743	1930	2	DNK	NA	NA
2.60413	1930	3	DNK	NA	NA
6.78187	1930	4	DNK	NA	NA
10.5892	1930	5	DNK	NA	NA
15.9348	1930	6	DNK	NA	NA
16.2294	1930	7	DNK	NA	NA
16.0368	1930	8	DNK	NA	NA
12.681	1930	9	DNK	NA	NA
9.2092	1930	10	DNK	NA	NA
5.47383	1930	11	DNK	NA	NA
1.78857	1930	12	DNK	NA	NA
0.13023	1931	1	DNK	NA	NA
-1.1168	1931	2	DNK	NA	NA
-0.9888	1931	3	DNK	NA	NA
4.54738	1931	4	DNK	NA	NA
12.0042	1931	5	DNK	NA	NA
12.5733	1931	6	DNK	NA	NA
15.8568	1931	7	DNK	NA	NA
15.1829	1931	8	DNK	NA	NA
10.9662	1931	9	DNK	NA	NA
7.92961	1931	10	DNK	NA	NA
5.19443	1931	11	DNK	NA	NA
1.71463	1931	12	DNK	NA	NA
2.75006	1932	1	DNK	NA	NA
0.67603	1932	2	DNK	NA	NA
0.55648	1932	3	DNK	NA	NA
5.80405	1932	4	DNK	NA	NA
11.1456	1932	5	DNK	NA	NA
13.8637	1932	6	DNK	NA	NA
18.0892	1932	7	DNK	NA	NA
17.0658	1932	8	DNK	NA	NA
13.3602	1932	9	DNK	NA	NA
7.78061	1932	10	DNK	NA	NA
4.74302	1932	11	DNK	NA	NA
2.44338	1932	12	DNK	NA	NA
-0.8745	1933	1	DNK	NA	NA
-0.1163	1933	2	DNK	NA	NA
3.19769	1933	3	DNK	NA	NA
6.07008	1933	4	DNK	NA	NA
10.7844	1933	5	DNK	NA	NA
16.1312	1933	6	DNK	NA	NA
17.5756	1933	7	DNK	NA	NA
16.4521	1933	8	DNK	NA	NA
13.7763	1933	9	DNK	NA	NA
9.28882	1933	10	DNK	NA	NA
3.31465	1933	11	DNK	NA	NA
-0.5797	1933	12	DNK	NA	NA
1.21879	1934	1	DNK	NA	NA
2.81989	1934	2	DNK	NA	NA
3.29913	1934	3	DNK	NA	NA
7.23439	1934	4	DNK	NA	NA
11.0295	1934	5	DNK	NA	NA
14.1111	1934	6	DNK	NA	NA
17.214	1934	7	DNK	NA	NA
16.2581	1934	8	DNK	NA	NA
15.0162	1934	9	DNK	NA	NA
9.99007	1934	10	DNK	NA	NA
5.4776300000000004	1934	11	DNK	NA	NA
4.28074	1934	12	DNK	NA	NA
0.13463	1935	1	DNK	NA	NA
1.65645	1935	2	DNK	NA	NA
2.29795	1935	3	DNK	NA	NA
6.3962	1935	4	DNK	NA	NA
9.59082	1935	5	DNK	NA	NA
15.0079	1935	6	DNK	NA	NA
16.3475	1935	7	DNK	NA	NA
16.0752	1935	8	DNK	NA	NA
13.1474	1935	9	DNK	NA	NA
8.8285	1935	10	DNK	NA	NA
5.45133	1935	11	DNK	NA	NA
0.87362	1935	12	DNK	NA	NA
1.8642	1936	1	DNK	NA	NA
-1.1989	1936	2	DNK	NA	NA
2.23772	1936	3	DNK	NA	NA
4.48577	1936	4	DNK	NA	NA
11.0131	1936	5	DNK	NA	NA
15.9194	1936	6	DNK	NA	NA
17.0615	1936	7	DNK	NA	NA
16.2637	1936	8	DNK	NA	NA
12.6808	1936	9	DNK	NA	NA
7.40125	1936	10	DNK	NA	NA
4.71896	1936	11	DNK	NA	NA
2.98	1936	12	DNK	NA	NA
-0.9313	1937	1	DNK	NA	NA
-0.0845	1937	2	DNK	NA	NA
0.59264	1937	3	DNK	NA	NA
6.5737	1937	4	DNK	NA	NA
12.1034	1937	5	DNK	NA	NA
14.3822	1937	6	DNK	NA	NA
17.1393	1937	7	DNK	NA	NA
18.0101	1937	8	DNK	NA	NA
13.5649	1937	9	DNK	NA	NA
10.1994	1937	10	DNK	NA	NA
3.67776	1937	11	DNK	NA	NA
-0.8569	1937	12	DNK	NA	NA
1.4953	1938	1	DNK	NA	NA
1.48173	1938	2	DNK	NA	NA
5.95053	1938	3	DNK	NA	NA
6.22741	1938	4	DNK	NA	NA
9.95723	1938	5	DNK	NA	NA
13.6246	1938	6	DNK	NA	NA
16.3168	1938	7	DNK	NA	NA
17.9213	1938	8	DNK	NA	NA
14.3948	1938	9	DNK	NA	NA
9.41456	1938	10	DNK	NA	NA
7.51429	1938	11	DNK	NA	NA
-1.0373000000000001	1938	12	DNK	NA	NA
0.83413	1939	1	DNK	NA	NA
2.64564	1939	2	DNK	NA	NA
1.92824	1939	3	DNK	NA	NA
6.36576	1939	4	DNK	NA	NA
10.5586	1939	5	DNK	NA	NA
15.1105	1939	6	DNK	NA	NA
16.6364	1939	7	DNK	NA	NA
18.0409	1939	8	DNK	NA	NA
14.1545	1939	9	DNK	NA	NA
5.71839	1939	10	DNK	NA	NA
4.98312	1939	11	DNK	NA	NA
-0.0583	1939	12	DNK	NA	NA
-4.9072	1940	1	DNK	NA	NA
-7.1338	1940	2	DNK	NA	NA
-0.3191	1940	3	DNK	NA	NA
4.33799	1940	4	DNK	NA	NA
11.1425	1940	5	DNK	NA	NA
15.9606	1940	6	DNK	NA	NA
16.3248	1940	7	DNK	NA	NA
14.5917	1940	8	DNK	NA	NA
11.2919	1940	9	DNK	NA	NA
7.15416	1940	10	DNK	NA	NA
5.1194	1940	11	DNK	NA	NA
-0.3424	1940	12	DNK	NA	NA
-6.5351	1941	1	DNK	NA	NA
-3.7521	1941	2	DNK	NA	NA
0.46301	1941	3	DNK	NA	NA
3.72681	1941	4	DNK	NA	NA
9.05238	1941	5	DNK	NA	NA
14.7906	1941	6	DNK	NA	NA
18.9883	1941	7	DNK	NA	NA
15.1267	1941	8	DNK	NA	NA
12.4984	1941	9	DNK	NA	NA
7.97536	1941	10	DNK	NA	NA
1.94993	1941	11	DNK	NA	NA
2.06583	1941	12	DNK	NA	NA
-7.5802	1942	1	DNK	NA	NA
-6.6888	1942	2	DNK	NA	NA
-3.0564	1942	3	DNK	NA	NA
5.28944	1942	4	DNK	NA	NA
9.85026	1942	5	DNK	NA	NA
12.5008	1942	6	DNK	NA	NA
15.2068	1942	7	DNK	NA	NA
16.5732	1942	8	DNK	NA	NA
13.5119	1942	9	DNK	NA	NA
9.85485	1942	10	DNK	NA	NA
4.56035	1942	11	DNK	NA	NA
2.61709	1942	12	DNK	NA	NA
-1.1122	1943	1	DNK	NA	NA
3.28075	1943	2	DNK	NA	NA
4.3829	1943	3	DNK	NA	NA
7.77807	1943	4	DNK	NA	NA
11.6256	1943	5	DNK	NA	NA
14.7541	1943	6	DNK	NA	NA
16.5642	1943	7	DNK	NA	NA
15.8536	1943	8	DNK	NA	NA
13.4448	1943	9	DNK	NA	NA
9.77635	1943	10	DNK	NA	NA
4.06457	1943	11	DNK	NA	NA
1.32251	1943	12	DNK	NA	NA
2.7849	1944	1	DNK	NA	NA
0.44303	1944	2	DNK	NA	NA
1.60724	1944	3	DNK	NA	NA
5.83816	1944	4	DNK	NA	NA
9.43132	1944	5	DNK	NA	NA
13.0575	1944	6	DNK	NA	NA
17.3951	1944	7	DNK	NA	NA
18.4641	1944	8	DNK	NA	NA
12.7318	1944	9	DNK	NA	NA
9.13759	1944	10	DNK	NA	NA
4.21825	1944	11	DNK	NA	NA
1.44193	1944	12	DNK	NA	NA
-1.9321	1945	1	DNK	NA	NA
1.59542	1945	2	DNK	NA	NA
4.84887	1945	3	DNK	NA	NA
7.20555	1945	4	DNK	NA	NA
11.0514	1945	5	DNK	NA	NA
14.415	1945	6	DNK	NA	NA
17.2181	1945	7	DNK	NA	NA
16.8678	1945	8	DNK	NA	NA
13.6224	1945	9	DNK	NA	NA
10.3029	1945	10	DNK	NA	NA
4.89867	1945	11	DNK	NA	NA
1.56338	1945	12	DNK	NA	NA
-0.5735	1946	1	DNK	NA	NA
0.67698	1946	2	DNK	NA	NA
0.8363	1946	3	DNK	NA	NA
7.59417	1946	4	DNK	NA	NA
11.4328	1946	5	DNK	NA	NA
13.2623	1946	6	DNK	NA	NA
17.382	1946	7	DNK	NA	NA
15.6309	1946	8	DNK	NA	NA
13.5858	1946	9	DNK	NA	NA
6.7582700000000004	1946	10	DNK	NA	NA
4.49899	1946	11	DNK	NA	NA
-0.0918	1946	12	DNK	NA	NA
-3.5449	1947	1	DNK	NA	NA
-7.6329	1947	2	DNK	NA	NA
-1.8846	1947	3	DNK	NA	NA
5.28893	1947	4	DNK	NA	NA
13.3298	1947	5	DNK	NA	NA
16.3396	1947	6	DNK	NA	NA
17.3436	1947	7	DNK	NA	NA
18.6036	1947	8	DNK	NA	NA
15.5119	1947	9	DNK	NA	NA
8.45203	1947	10	DNK	NA	NA
4.35188	1947	11	DNK	NA	NA
1.50202	1947	12	DNK	NA	NA
-0.0921	1948	1	DNK	NA	NA
-0.546	1948	2	DNK	NA	NA
3.89545	1948	3	DNK	NA	NA
8.33955	1948	4	DNK	NA	NA
11.2551	1948	5	DNK	NA	NA
14.7913	1948	6	DNK	NA	NA
16.635	1948	7	DNK	NA	NA
16.167	1948	8	DNK	NA	NA
13.7226	1948	9	DNK	NA	NA
8.49453	1948	10	DNK	NA	NA
4.77859	1948	11	DNK	NA	NA
2.81957	1948	12	DNK	NA	NA
2.035	1949	1	DNK	NA	NA
2.80895	1949	2	DNK	NA	NA
1.45264	1949	3	DNK	NA	NA
7.33765	1949	4	DNK	NA	NA
11.1368	1949	5	DNK	NA	NA
13.6132	1949	6	DNK	NA	NA
16.9823	1949	7	DNK	NA	NA
15.5207	1949	8	DNK	NA	NA
16.0671	1949	9	DNK	NA	NA
10.7996	1949	10	DNK	NA	NA
5.32561	1949	11	DNK	NA	NA
3.35118	1949	12	DNK	NA	NA
-1.0924	1950	1	DNK	NA	NA
1.25411	1950	2	DNK	NA	NA
4.00484	1950	3	DNK	NA	NA
6.26802	1950	4	DNK	NA	NA
11.8826	1950	5	DNK	NA	NA
15.2349	1950	6	DNK	NA	NA
16.3658	1950	7	DNK	NA	NA
17.2001	1950	8	DNK	NA	NA
13.0771	1950	9	DNK	NA	NA
8.62283	1950	10	DNK	NA	NA
3.97224	1950	11	DNK	NA	NA
-0.8106	1950	12	DNK	NA	NA
-0.2128	1951	1	DNK	NA	NA
0.22785	1951	2	DNK	NA	NA
0.0824	1951	3	DNK	NA	NA
5.6845	1951	4	DNK	NA	NA
10.1181	1951	5	DNK	NA	NA
14.3834	1951	6	DNK	NA	NA
15.5697	1951	7	DNK	NA	NA
16.398	1951	8	DNK	NA	NA
14.1445	1951	9	DNK	NA	NA
8.4497	1951	10	DNK	NA	NA
6.38189	1951	11	DNK	NA	NA
4.4707	1951	12	DNK	NA	NA
0.41937	1952	1	DNK	NA	NA
0.83054	1952	2	DNK	NA	NA
0.37919	1952	3	DNK	NA	NA
8.1508	1952	4	DNK	NA	NA
11.0264	1952	5	DNK	NA	NA
12.8692	1952	6	DNK	NA	NA
16.0901	1952	7	DNK	NA	NA
15.9821	1952	8	DNK	NA	NA
10.7815	1952	9	DNK	NA	NA
6.78661	1952	10	DNK	NA	NA
1.84551	1952	11	DNK	NA	NA
0.27614	1952	12	DNK	NA	NA
0.35735	1953	1	DNK	NA	NA
-1.1869	1953	2	DNK	NA	NA
3.63659	1953	3	DNK	NA	NA
7.09594	1953	4	DNK	NA	NA
11.4888	1953	5	DNK	NA	NA
16.7334	1953	6	DNK	NA	NA
16.7893	1953	7	DNK	NA	NA
16.0784	1953	8	DNK	NA	NA
13.1059	1953	9	DNK	NA	NA
10.7116	1953	10	DNK	NA	NA
6.69578	1953	11	DNK	NA	NA
2.96657	1953	12	DNK	NA	NA
-1.1436	1954	1	DNK	NA	NA
-3.9945	1954	2	DNK	NA	NA
1.70018	1954	3	DNK	NA	NA
5.3145	1954	4	DNK	NA	NA
12.3562	1954	5	DNK	NA	NA
14.8049	1954	6	DNK	NA	NA
14.6571	1954	7	DNK	NA	NA
15.2122	1954	8	DNK	NA	NA
12.9008	1954	9	DNK	NA	NA
9.51172	1954	10	DNK	NA	NA
4.15103	1954	11	DNK	NA	NA
3.20414	1954	12	DNK	NA	NA
-1.1405	1955	1	DNK	NA	NA
-2.9738	1955	2	DNK	NA	NA
-0.614	1955	3	DNK	NA	NA
5.06784	1955	4	DNK	NA	NA
8.72946	1955	5	DNK	NA	NA
13.0568	1955	6	DNK	NA	NA
18.3256	1955	7	DNK	NA	NA
18.4692	1955	8	DNK	NA	NA
14.4656	1955	9	DNK	NA	NA
8.73821	1955	10	DNK	NA	NA
5.23994	1955	11	DNK	NA	NA
1.36401	1955	12	DNK	NA	NA
-0.2848	1956	1	DNK	NA	NA
-6.7353	1956	2	DNK	NA	NA
1.19196	1956	3	DNK	NA	NA
4.35924	1956	4	DNK	NA	NA
10.9209	1956	5	DNK	NA	NA
13.3275	1956	6	DNK	NA	NA
16.7806	1956	7	DNK	NA	NA
13.649	1956	8	DNK	NA	NA
13.3848	1956	9	DNK	NA	NA
8.49105	1956	10	DNK	NA	NA
3.18027	1956	11	DNK	NA	NA
2.82311	1956	12	DNK	NA	NA
1.71643	1957	1	DNK	NA	NA
2.08594	1957	2	DNK	NA	NA
3.26117	1957	3	DNK	NA	NA
6.14083	1957	4	DNK	NA	NA
9.4991	1957	5	DNK	NA	NA
14.3791	1957	6	DNK	NA	NA
16.8119	1957	7	DNK	NA	NA
15.5879	1957	8	DNK	NA	NA
11.3132	1957	9	DNK	NA	NA
9.62223	1957	10	DNK	NA	NA
4.61712	1957	11	DNK	NA	NA
1.45826	1957	12	DNK	NA	NA
-0.9442	1958	1	DNK	NA	NA
-1.3148	1958	2	DNK	NA	NA
-1.3481	1958	3	DNK	NA	NA
4.12417	1958	4	DNK	NA	NA
9.89326	1958	5	DNK	NA	NA
14.0044	1958	6	DNK	NA	NA
16.2971	1958	7	DNK	NA	NA
15.5721	1958	8	DNK	NA	NA
14.3091	1958	9	DNK	NA	NA
10.2598	1958	10	DNK	NA	NA
